Bernalillo County,[dbo].[WellData]
"Bernalillo County, Sara Chudnoff",[dbo].[WellData]
"Bernalillo County, Sara Chudnoff; Screen interval from DBSA Campbell Ranch report",[dbo].[WellData]
Chemistry data from EPA via NM Health Dept.,[dbo].[WellData]
Chemistry from EPA via NM Health Dept.,[dbo].[WellData]
Pecos Valley Artesian Conservancy District  (Aron Balok okay'd us to share data from PVACD wells to the web map on 3/30/2022 via email with Stacy),[dbo].[WellData]
Pecos Valley Artesian Conservancy District  (Aron Balok okay'd us to share data from PVACD wells to the web map on 3/30/2022 via email with Stacy). Same well as USGS 331524104245101.,[dbo].[WellData]
Pecos Valley Artesian Conservancy District (Aron Balok okay'd us to share data from PVACD wells to the web map on 3/30/2022 via email with Stacy),[dbo].[WellData]
Texas Water Development Board,[dbo].[WellData]
"Texas Water Development Board; Kreitler, et al. (1987) Siting a low-level radioactive waste disposal facility in TX, Vol. 4. (pump test data)",[dbo].[WellData]
USGS,[dbo].[Chemistry SampleInfo]
USGS,[dbo].[WaterLevels]
USGS,[dbo].[WellData]
USGS NWIS data site,[dbo].[WellData]
USGS NWIS data siteSome data from USGS. Overlapping site data.,[dbo].[WellData]
USGS WLs,[dbo].[WellData]
WLs from USGS,[dbo].[WellData]
